DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,10:45 AM,PEE WEE LOWER A,MT PLEASANT,LEAGUE,EASTON,NO U18 or RAPIDS U12,10/8/12 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,5:10 PM,PEE WEE B,MT PLEASANT,LEAGUE,RESTON,NO U18 or RAPIDS U12,10/8/12 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/12,SATURDAY,6:50 PM,BANTAM UPPER A,MT PLEASANT,PRACTICE,,NO U18 or RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,12:30 PM,PEE WEE B,SKATE FREDERICK,LEAGUE,FREDERICK,,10/11/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,10:00 AM,PEE WEE LOWER A,HAGERSTOWN,LEAGUE,HAGERSTOWN,,10/8/12 LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,11:30 AM,RAPIDS U12,REISTERSTOWN,LEAGUE,NOVA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,9:45 AM,SQUIRT B,REISTERSTOWN,LEAGUE,METRO,,10/8/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,4:00 PM,U18 LOWER A,SKATE FREDERICK,LEAGUE,FREDERICK,,10/11/12 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,NON-LEAGUE,LANCASTER FIRE BIRDS,,10/8/12 - JEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,9:00 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,10:45 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/12,SUNDAY,12:25 PM,SQUIRT UPPER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,,10/8/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/12,SATURDAY,11:00 AM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,FREDERICK,,10/17/12 - KEN ELLIOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
