DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,7:50 AM,MITE TRAVEL,NAVAL ACADEMY - MC MULLEN,NON-LEAGUE,NAVY,,11/25/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/12,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,2:50 PM,BANTAM UPPER A,CHILLED PONDS,LEAGUE,HAMPTON ROADS,,12/3/12 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,5:10 PM,PEE WEE B,MT PLEASANT,LEAGUE,HAMPTON ROADS,,12/3/12 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,2:30 PM,PEE WEE LOWER A,SKATE FREDERICK,LEAGUE,FREDERICK,,12/6/12 - KEN ELLIOTT,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,11:10 AM,RAPIDS U12,CHEVY CHASE,LEAGUE,CHEVY CHASE,,12/3/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,5:00 PM,SQUIRT B,HAGERSTOWN,LEAGUE,HAGERSTOWN,,12/3/12 - LAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,12:20 PM,SQUIRT UPPER A,ASHBURN - EAST RINK,LEAGUE,ASHBURN,,12/3/12 - MIKE LESLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,11:00 AM,MIDGET REC BLACK,REISTERSTOWN,LEAGUE,METRO,,12/3/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,10:45 AM,PEE WEE REC BLACK,MT PLEASANT,LEAGUE,CHEVY CHASE BLACK,,12/3/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,6:50 PM,PEE WEE REC WHITE,MT PLEASANT,LEAGUE,METRO,,12/3/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,9:00 AM,MITE TRAVEL,LAUREL - MINI RINK,NON-LEAGUE,JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/12,SATURDAY,10:30 AM,MITE CROSS ICE,LAUREL - MINI RINK,NON-LEAGUE,JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,11:20 AM,BANTAM UPPER A,SKATE NATION,LEAGUE,RICHMOND,,12/3/12 - MIKE LYONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,9:00 AM,PEE WEE B,MT PLEASANT,LEAGUE,HAMPTON ROADS,,12/3/12 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,10:45 AM,SQUIRT REC,MT PLEASANT,LEAGUE,SOUTHERN MARYLAND RED,,12/4/12 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,4:15 PM,SQUIRT B,RESTON - NHL,LEAGUE,RESTON,,12/3/12 - TRACY COSKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,11:30 AM,U18 LOWER A,REISTERSTOWN,LEAGUE,METRO,,12/3/12 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,9:45 AM,MIDGET REC WHITE,REISTERSTOWN,NON-LEAGUE,LANCASTER FIRE BIRDS,,12/3/12 - JULIE OTTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,1:15 PM,MIDGET REC BLACK,REISTERSTOWN,LEAGUE ,NOVA 2,,12/3/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,8:00 AM,MITE HALF ICE (2 TEAMS),PATTERSON PARK,NON-LEAGUE,TRI-CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,8:30 AM,RAPIDS U12,HERSHEY PARK ARENA,NON-LEAGUE,HERSHEY U12,,12/3/12 - TIFFANY PAPOUTSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,10:15 AM,PEE WEE REC WHITE,HERBERT WELLS ICE RINK,LEAGUE,WELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,2:00 PM,PEE WEE LOWER A,HAYMARKET ICE PLEX,NON-LEAGUE,PIEDMONT PREDATORS,,12/3/12 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/12,SUNDAY,9:00 AM,MITE TRAVEL,ICE WORLD,NON-LEAGUE,HARFORD,,12/3/12 - MIKE VANDE LOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,5:10 PM,BANTAM UPPER A,MT PLEASANT,LEAGUE,RESTON,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,4:55 PM,PEE WEE LOWER A,ROCKVILLE #1,LEAGUE,MONTGOMERY,NO RAPIDS U12,12/10/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,2:30 PM,SQUIRT B,SKATE FREDERICK,LEAGUE,FREDERICK,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,11:00 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,RESTON,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,4:00 PM,U18 LOWER A,SKATE FREDERICK,LEAGUE,FREDERICK,NO RAPIDS U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,10:45 AM,BANTAM REC,MT PLEASANT,LEAGUE,CHEVY CHASE,NO RAPIDS U12,12/10/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,6:50 PM,MIDGET REC WHITE,MT PLEASANT,LEAGUE,HOWARD GREY,NO RAPIDS U12,12/12/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/12,SATURDAY,11:00 AM,SQUIRT REC,LAUREL,LEAGUE,TRI-CITY FALCONS 1,,12/10/12 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,12:00 PM,PEE WEE B,ICE WORLD,LEAGUE,HARFORD,,12/10/12 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,11:30 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,8:00 AM,RAPIDS U12,LAUREL - LOGSDON,LEAGUE,NOVA 2,,12/10/12 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,8:15 AM,SQUIRT B,COLUMBIA,LEAGUE,HOWARD,,12/12/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,9:00 AM,SQUIRT UPPER A,MT PLEASANT,LEAGUE,RICHMOND,,12/10/12 - MIKE LYONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,9:45 AM,U18 LOWER A,REISTERSTOWN,NON-LEAGUE,YORK U18,,12/10/12 - YORK SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,1:15 PM,SQUIRT B,REISTERSTOWN,NON-LEAGUE,PIEDMONT PREDATORS,,12/10/12 - PIEDMONT SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,10:45 AM,MIDGET REC WHITE,MT PLEASANT,NON-LEAGUE,METRO,,12/13/12 - NIKKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,1:00 PM,PEE WEE REC WHITE,FORT DUPONT,LEAGUE,NOVA 2,,12/10/12 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,9:00 AM,PEE WEE REC BLACK,CHEVY CHASE,LEAGUE,CHEVY CHASE BLACK,,12/10/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/12,SUNDAY,12:15 PM,MIDGET REC BLACK,HERBERT WELLS ICE RINK,LEAGUE,WELLS,,12/11/12  - JOE HAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,5:10 PM,BANTAM UPPER A,MT PLEASANT,LEAGUE,NAVY,,12/16/12  - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,8:30 AM,PEE WEE REC WHITE,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY BLUE,,12/16/12  - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,11:00 AM,SQUIRT UPPER A,REISTERSTOWN,LEAGUE,BOWIE,,12/17/12 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,6:50 PM,RAPIDS U12,MT PLEASANT,NON-LEAGUE,NAVY U14,,12/16/12  - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,10:45 AM,PEE WEE B,MT PLEASANT,NON-LEAGUE,HOWARD BLACK,,12/17/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/12,SATURDAY,4:15 PM,SQUIRT REC,COLUMBIA,NON-LEAGUE,HOWARD BLACK,,12/17/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,10:45 AM,,MT PLEASANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,1:15 PM,SQUIRT UPPER A,CABIN JOHN - NHL,LEAGUE,MONTGOMERY BLUE,,12/16/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,9:00 AM,PEE WEE B,MT PLEASANT,PRACTICE,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,9:45 AM,SQUIRT B,REISTERSTOWN,NON-LEAGUE,HOWARD SILVER,,12/17/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,11:30 AM,MIDGET REC WHITE,REISTERSTOWN,NON-LEAGUE,YORK BLACK,,12/20/12 - NICHOLE BAIBOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,1:15 PM,,REISTERSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/12,SUNDAY,12:25 PM,BANTAM REC,BOWIE,LEAGUE,BOWIE,,12/17/12 - CHRIS HINKSON, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,5:30 PM,BANTAM UPPER A,LAUREL,LEAGUE,TRI-CITY,,1/4/13 - JOE SCHWARTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,12:30 PM,PEE WEE B,PRINCE WILLIAM ICE CENTER ,NON-LEAGUE,PRINCE WILLIAM,,12/31/12 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,8:20 AM,PEE WEE REC BLACK,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY GOLD,,12/31/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,6:15 PM,SQUIRT B,TALBOT COMMUNITY CENTER,LEAGUE,EASTON,,1/3/13 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,4:10 PM,SQUIRT UPPER A,ICE ZONE,LEAGUE,RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,10:45 AM,SQUIRT REC,MT PLEASANT,LEAGUE,NAVY,,12/31/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,11:00 AM,PEE WEE REC WHITE,REISTERSTOWN,LEAGUE,WELLS,,12/31/12 - JOE HAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,5:10 PM,BANTAM REC,MT PLEASANT,LEAGUE,SOUTHERN MARYLAND WHITE,,1/1/13 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,6:50 PM,PEE WEE LOWER A,MT PLEASANT,NON-LEAGUE,PIEDMONT PREDATORS,,12/31/12 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,5:15 PM,MIDGET REC BLACK,PINEY ORCHARD,NON-LEAGUE,METRO,,1/3/13 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,6:30 PM,RAPIDS U12,ROCKVILLE #1,NON-LEAGUE,MONTGOMERY U12 GOLD,,12/18/12 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/13,SATURDAY,4:50 PM,U18 LOWER A,LAUREL,NON-LEAGUE,HOWARD U16AA,,12/31/12 - BUD BUONAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,10:15 AM,PEE WEE LOWER A,TALBOT COMMUNITY CENTER,LEAGUE,EASTON,,1/3/13 - KAREN WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,10:35 AM,RAPIDS U12,CHEVY CHASE,LEAGUE,CHEVY CHASE,,12/31/12 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,9:45 AM,PEE WEE REC BLACK,REISTERSTOWN,LEAGUE,NOVA 3,,1/2/13 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,1:15 PM,PEE WEE B,REISTERSTOWN,NON-LEAGUE,PIEDMONT PREDATORS,,12/31/12 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,9:00 AM,BANTAM UPPER A,MT PLEASANT,NON-LEAGUE,PIEDMONT PREDATORS AA,,12/31/12 - CHRIS WISEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,10:45 AM,MITE TRAVEL,MT PLEASANT,NON-LEAGUE,NAVY,,12/31/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,8:00 AM,SQUIRT REC,PATTERSON PARK,LEAGUE,METRO,,1/3/13 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/13,SUNDAY,11:15 AM,MIDGET REC BLACK,CAPITOL CLUB HOUSE,LEAGUE,SOUTHERN MARYLAND,,1/1/13 - CHRIS KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,5:20 PM,PEE WEE B,BOWIE,LEAGUE ,BOWIE,,1/7/13 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,6:50 PM,PEE WEE LOWER A,MT PLEASANT,LEAGUE,NOVA,,1/7/13 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,11:00 AM,SQUIRT B,REISTERSTOWN,NON-LEAGUE,NAVY,,1/7/13 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,2:30 PM,SQUIRT UPPER A,SKATE FREDERICK,LEAGUE,FREDERICK,,1/9/13 - KEN ELLIOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,5:10 PM,PEE WEE REC BLACK,MT PLEASANT,NON-LEAGUE,HARFORD,,1/6/13 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,10:45 AM,SQUIRT REC,MT PLEASANT,NON-LEAGUE,HARFORD,,1/6/13 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,2:20 PM,PEE WEE REC WHITE,LAUREL - PATRICK,LEAGUE,CHEVY CHASE RED,,1/7/13 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,6:55 PM,MIDGET REC WHITE,BOWIE,LEAGUE,BOWIE BLACK,,1/6/13 - BOWIE WEBPAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,6:15 PM,BANTAM REC,LANCASTER ICE RINK,NON-LEAGUE,LANCASTER FIRE BIRDS,,1/7/13 - LANCASTER WEB PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,4:00 PM,MIDGET REC BLACK,YORK,NON-LEAGUE,YORK BLACK,,1/10/13 - NICHOLE BAIBOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,3:45 PM,BANTAM UPPER A,PINEY ORCHARD,NON-LEAGUE,METRO,,1/8/13 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/13,SATURDAY,5:30 PM,U18 LOWER A,ICE WORLD,LEAGUE,HAMPTON ROADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,3:45 PM,BANTAM UPPER A,MT VERNON,LEAGUE,NOVA,,1/7/13 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,9:45 AM,RAPIDS U12,REISTERSTOWN,LEAGUE,MONTGOMERY,,1/6/13 - BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,10:45 AM,SQUIRT UPPER A,MT PLEASANT,LEAGUE,NAVY,,1/7/13 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,11:30 AM,MITE CROSS ICE,REISTERSTOWN,MITE JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,1:15 PM,MITE CROSS ICE,REISTERSTOWN,MITE JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,9:00 AM,U18 LOWER A,MT PLEASANT,LEAGUE,HAMPTON ROADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,8:00 AM,PEE WEE B,PATTERSON PARK,NON-LEAGUE,DELAWARE DUCKS,,1/7/13 - DELAWARE WEB PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/13,SUNDAY,9:15 AM,SQUIRT REC,MT VERNON,LEAGUE,NOVA 1,,1/8/13 - BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/13,WEDNESDAY,7:40 PM,BANTAM UPPER A,ASHBURN,LEAGUE,ASHBURN,,1/9/13 - MIKE LESLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,10:45 AM,BANTAM UPPER A,MT PLEASANT,NON-LEAGUE,CHESTER COUNTY,,1/14 - TOM NORTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,12:30 PM,PEE WEE B,PRINCE WILLIAM ICE CENTER ,LEAGUE,PRINCE WILLIAM,,1/14 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,5:10 PM,U18 LOWER A,MT PLEASANT,LEAGUE,BLUE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,11:00 AM,RAPIDS U12,REISTERSTOWN,NON-LEAGUE,HERSHEY U12,,1/14 - HERSHEY WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,6:50 PM,BANTAM REC,MT PLEASANT,NON-LEAGUE,HARFORD,,1/14 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:15 PM,PEE WEE REC BLACK,MT VERNON,LEAGUE,NOVA 3,,1/15 BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,5:40 PM,MIDGET REC WHITE,COLUMBIA,LEAGUE,HOWARD WHITE,,1/15 BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:30 PM,MIDGET REC BLACK,LANCASTER ICE RINK,NON-LEAGUE,LANCASTER FIRE BIRDS,,1/14 - LANCASTER WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/13,SATURDAY,4:10 PM,PEE WEE LOWER A,RESTON ,NON-LEAGUE,RESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,1:15 PM,BANTAM UPPER A,REISTERSTOWN,LEAGUE,MONTGOMERY,,1/15 BOB WEISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,3:10 PM,PEE WEE LOWER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,,1/15 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,8:00 AM,RAPIDS U12,LAUREL - LOGSDON,LEAGUE,NOVA 2,,1/14 - DAWN PAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:30 AM,SQUIRT B,ICE WORLD,LEAGUE,HARFORD,,1/14 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:45 AM,U18 LOWER A,MT PLEASANT,LEAGUE,BLUE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,9:45 AM,MIDGET REC WHITE,REISTERSTOWN,LEAGUE,MIDGET REC BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,11:30 AM,PEE WEE B,REISTERSTOWN,NON-LEAGUE,YORK,,1/14 - YORK WEBSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,9:00 AM,SQUIRT REC,MT PLEASANT,LEAGUE,TRI-CITY FALCONS 2,,1/15 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,8:00 AM,,PATTERSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:45 AM,BANTAM REC,MT VERNON,LEAGUE,NOVA 2,,1/15 BILL GERKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,11:30 AM,SQUIRT UPPER A,HAGERSTOWN,LEAGUE,HAGERSTOWN,,1/14 - LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,10:50 AM,PEE WEE REC BLACK,BOWIE,LEAGUE,BOWIE,,1/15 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/13,SUNDAY,12:30 PM,PEE WEE REC WHITE,PINEY ORCHARD,LEAGUE,METRO,,1/16 - KRISTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,11:00 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,HAGERSTOWN,,1/21 - LAURA ELMOHANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,10:45 AM,RAPIDS U12,MT PLEASANT,NON-LEAGUE,FREDERICK U14 SILVER,,1/22 - KEN ELLIOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,5:10 PM,SQUIRT UPPER A,MT PLEASANT,LEAGUE,PRINCE WILLIAM,,1/21 - BRUCE JOHNSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,4:20 PM,U18 LOWER A,CHILLED PONDS,LEAGUE,HAMPTON ROADS,,1/21 - LISA ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,6:50 PM,PEE WEE REC BLACK,MT PLEASANT,LEAGUE,NAVY GOLD,,1/21 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,9:00 AM,MITE CROSS ICE,LAUREL ICE GARDEN MINI RINK,NON-LEAGUE,MITE B JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,10:45 AM,MITE CROSS ICE,LAUREL ICE GARDEN MINI RINK,NON-LEAGUE,MITE B JAMBOREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/13,SATURDAY,7:20 AM,MITE TRAVEL,NAVAL ACADEMY - MC MULLEN,NON-LEAGUE,NAVY,,1/21 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,9:00 AM,SQUIRT B,MT PLEASANT,,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,9:45 AM,PEE WEE LOWER A,REISTERSTOWN,LEAGUE,BOWIE,,1/21 - CHRIS HINKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,10:45 AM,RAPIDS U12,MT PLEASANT,LEAGUE,CHEVY CHASE,,1/22 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,11:30 AM,BANTAM REC,REISTERSTOWN,LEAGUE,METRO,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,1:15 PM,SQUIRT REC,REISTERSTOWN,LEAGUE,TRI-CITY FALCONS 1,,1/21 - NIKKI GOLDSCHMIDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/13,SUNDAY,8:00 AM,MITE TRAVEL,PATTERSON PARK,NON-LEAGUE,CHEVY CHASE,,1/22 - LINDSAY CEPHAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
